"left","bottom","right","top","confidence","cluster","table","row","file_id","file_number","entry_id","name_id","col.header","price_center_x_orig","price_center_y_orig","text.true","truth_entered_by","price_raw","type_raw","price_new","type_new","flag_year","flag_amount","flag_size","flag_digit","flag_order","flag_type_new","sum_flag"
1531,2522,1640,2563,96.6328430175781,1,1,2,"UCD_Lehmann_0027","0027","0027_1_2","0027_1_2","Bottle",1578.1929068882,2549.22813286478,"2.49","David","2.49","TRUE","2.49","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1524,2790,1633,2831,77.2771377563477,1,1,3,"UCD_Lehmann_0027","0027","0027_1_3","0027_1_3","Bottle",1575.50568098402,2817.30606708717,"2.49","David","249","number","2.49","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1525,3088,1633,3129,89.6025314331055,1,1,4,"UCD_Lehmann_0027","0027","0027_1_4","0027_1_4","Bottle",1580.80015609502,3115.25945024181,"3.49","David","3.49","TRUE","3.49","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1526,3287,1634,3327,93.9173278808594,1,1,5,"UCD_Lehmann_0027","0027","0027_1_5","0027_1_5","Bottle",1584.99370503419,3313.7176678779,"3.49","David","3.49","TRUE","3.49","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1533,3554,1641,3595,96.9754028320312,1,1,6,"UCD_Lehmann_0027","0027","0027_1_6","0027_1_6","Bottle",1596.2966224779,3581.0704199813,"3.69","David","3.69","TRUE","3.69","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1534,3758,1642,3798,91.9656143188477,1,1,7,"UCD_Lehmann_0027","0027","0027_1_7","0027_1_7","Bottle",1600.57061671622,3784.52799043089,"3.79","David","3.79","TRUE","3.79","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1534,3961,1642,4001,83.4014663696289,1,1,8,"UCD_Lehmann_0027","0027","0027_1_8","0027_1_8","Bottle",1603.83669586192,3987.50171465897,"3.79","David","3.79","TRUE","3.79","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
1518,4124,1616,4154,96.6815414428711,1,1,9,"UCD_Lehmann_0027","0027","0027_1_9","0027_1_9","Bottle",1585.38148549853,4145.819133822,"3.99","David","1964.","year","1964.","year",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2
1535,4281,1643,4322,96.5287399291992,1,1,10,"UCD_Lehmann_0027","0027","0027_1_10","0027_1_10","Bottle",1609.99311010048,4307.94414094444,"3.99","David","3.99","TRUE","3.99","TRUE",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1
1536,4484,1644,4525,94.5161590576172,1,1,11,"UCD_Lehmann_0027","0027","0027_1_11","0027_1_11","Bottle",1614.25905980888,4510.90177611269,"3.99","David","3.99","TRUE","3.99","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
